graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
0,GraphSAGE,1:50,focal_loss,44,GNNShap,0.993,30,0.99,nan,0.5,0.948,0.389,0.204,31,
0,GraphSAGE,1:100,none,42,GNNExplainer,0.973,26,0.928,0.536,0.154,nan,0.569,-0.266,34,
0,GraphSAGE,1:100,none,42,PGExplainer,0.973,26,nan,0.884,nan,nan,0.019,0.273,34,no
0,GraphSAGE,1:100,none,42,GNNShap,0.973,26,0.981,nan,0.0,0.917,0.395,0.376,34,
0,GraphSAGE,1:100,none,43,GNNExplainer,0.966,30,0.926,0.513,0.133,nan,0.546,-0.147,34,
0,GraphSAGE,1:100,none,43,PGExplainer,0.966,30,nan,0.919,nan,nan,0.02,0.385,34,no
0,GraphSAGE,1:100,none,43,GNNShap,0.966,30,0.981,nan,0.133,0.916,0.339,0.489,34,
0,GraphSAGE,1:100,none,44,GNNExplainer,0.983,30,0.932,0.525,0.167,nan,0.607,-0.2,35,
0,GraphSAGE,1:100,none,44,PGExplainer,0.983,30,nan,0.878,nan,nan,0.031,0.457,35,no
0,GraphSAGE,1:100,none,44,GNNShap,0.983,30,0.981,nan,0.033,0.922,0.358,0.467,35,
0,GraphSAGE,1:100,class_weighting,42,GNNExplainer,0.981,30,0.912,0.516,0.533,nan,0.818,-0.09,32,
0,GraphSAGE,1:100,class_weighting,42,PGExplainer,0.981,30,nan,0.934,nan,nan,0.164,0.457,32,no
0,GraphSAGE,1:100,class_weighting,42,GNNShap,0.981,30,0.974,nan,0.167,0.918,0.627,0.62,32,
0,GraphSAGE,1:100,class_weighting,43,GNNExplainer,0.98,30,0.907,0.483,0.333,nan,0.8,-0.059,32,
0,GraphSAGE,1:100,class_weighting,43,PGExplainer,0.98,30,nan,0.953,nan,nan,0.118,0.535,32,no
0,GraphSAGE,1:100,class_weighting,43,GNNShap,0.98,30,0.965,nan,0.167,0.918,0.441,0.692,32,
0,GraphSAGE,1:100,class_weighting,44,GNNExplainer,0.986,30,0.926,0.501,0.333,nan,0.834,-0.063,31,
0,GraphSAGE,1:100,class_weighting,44,PGExplainer,0.986,30,nan,0.909,nan,nan,0.107,0.435,31,no
0,GraphSAGE,1:100,class_weighting,44,GNNShap,0.986,30,0.97,nan,0.1,0.91,0.651,0.459,31,
0,GraphSAGE,1:100,focal_loss,42,GNNExplainer,0.988,30,0.919,0.512,0.3,nan,0.361,-0.179,33,
0,GraphSAGE,1:100,focal_loss,42,PGExplainer,0.988,30,nan,0.861,nan,nan,0.022,0.164,33,no
0,GraphSAGE,1:100,focal_loss,42,GNNShap,0.988,30,0.992,nan,0.267,0.927,0.268,0.299,33,
0,GraphSAGE,1:100,focal_loss,43,GNNExplainer,0.986,30,0.921,0.533,0.067,nan,0.441,-0.201,32,
0,GraphSAGE,1:100,focal_loss,43,PGExplainer,0.986,30,nan,0.937,nan,nan,0.016,0.222,32,no
0,GraphSAGE,1:100,focal_loss,43,GNNShap,0.986,30,0.988,nan,0.3,0.928,0.308,0.248,32,
0,GraphSAGE,1:100,focal_loss,44,GNNExplainer,0.986,30,0.924,0.512,0.2,nan,0.445,-0.177,32,
0,GraphSAGE,1:100,focal_loss,44,PGExplainer,0.986,30,nan,0.883,nan,nan,0.029,0.195,32,no
0,GraphSAGE,1:100,focal_loss,44,GNNShap,0.986,30,0.988,nan,0.333,0.933,0.394,0.166,32,
0,GraphSAGE,natural,none,42,GNNExplainer,0.995,30,0.884,0.461,0.533,nan,0.772,-0.059,27,
0,GraphSAGE,natural,none,42,PGExplainer,0.995,30,nan,0.932,nan,nan,0.305,0.266,27,no
0,GraphSAGE,natural,none,42,GNNShap,0.995,30,0.961,nan,0.133,0.964,0.724,0.316,27,
0,GraphSAGE,natural,none,43,GNNExplainer,0.996,30,0.889,0.507,0.567,nan,0.814,-0.055,30,
