architecture,scenario,node,node_typ,spearman,plaus_f1,plaus_prec,plaus_rec,plaus_feat,sub_n_nodes,sub_n_edges
GAT,1:1,8285,1,0.9866165413533834,0.5384615384615384,0.5384615384615384,0.5384615384615384,1.0,27,60
GAT,1:1,8637,2,0.9736842105263157,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,23,44
GAT,1:1,8740,2,0.9754887218045113,0.5,0.5,0.5,0.0,23,44
GAT,1:1,8447,2,0.9490225563909773,0.5,0.5,0.5,0.0,21,40
GAT,1:1,9350,4,0.9875187969924811,0.525,0.525,0.525,1.0,36,70
GAT,1:1,8226,1,0.9899248120300751,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,33,74
GAT,1:1,8209,1,0.9766917293233084,0.6590909090909091,0.6590909090909091,0.6590909090909091,1.0,25,60
GAT,1:1,9455,4,0.9810526315789472,0.525,0.525,0.525,1.0,36,74
GAT,1:1,9464,4,0.988721804511278,0.525,0.525,0.525,1.0,36,72
GAT,1:1,8521,2,0.9672180451127816,0.5,0.5,0.5,1.0,23,44
GAT,1:1,9133,3,0.9932330827067668,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.0,31,60
GAT,1:1,9293,4,0.986766917293233,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,36,70
GAT,1:10,8897,3,0.9908270676691726,0.5294117647058824,0.5294117647058824,0.5294117647058824,1.0,35,68
GAT,1:10,8073,1,0.9884210526315789,0.5652173913043478,0.5652173913043478,0.5652173913043478,1.0,35,80
GAT,1:10,9443,4,0.9559398496240602,0.55,0.55,0.55,1.0,27,52
GAT,1:10,8985,3,0.9804511278195488,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.0,36,70
GAT,1:10,8040,1,0.9852631578947367,0.5238095238095238,0.5238095238095238,0.5238095238095238,1.0,37,82
GAT,1:10,9267,4,0.9906766917293233,0.5416666666666666,0.5416666666666666,0.5416666666666666,1.0,26,50
GAT,1:10,8053,1,0.9756390977443609,0.75,0.75,0.75,1.0,83,176
GAT,1:10,9471,4,0.9860150375939847,0.525,0.525,0.525,1.0,33,66
