graph_seed,architecture,scenario,balancing,model_seed,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
2,GCN,natural,none,44,PGExplainer,0.766,30,nan,0.785,nan,nan,0.119,-0.083,29,no
2,GCN,natural,none,44,GNNShap,0.766,30,0.99,nan,0.133,0.968,0.693,0.318,29,
2,TAGCN,1:1,none,42,GNNExplainer,0.976,30,0.849,0.569,0.7,nan,0.578,0.036,31,
2,TAGCN,1:1,none,42,PGExplainer,0.976,30,nan,0.931,nan,nan,0.124,0.151,31,no
2,TAGCN,1:1,none,42,GNNShap,0.976,30,0.954,nan,0.167,0.959,0.492,0.415,31,
2,TAGCN,1:1,none,43,GNNExplainer,0.973,30,0.891,0.632,0.8,nan,0.638,-0.028,30,
2,TAGCN,1:1,none,43,PGExplainer,0.973,30,nan,0.922,nan,nan,0.129,0.119,30,no
2,TAGCN,1:1,none,43,GNNShap,0.973,30,0.965,nan,0.033,0.945,0.476,0.357,30,
2,TAGCN,1:1,none,44,GNNExplainer,0.976,30,0.833,0.558,0.533,nan,0.679,0.03,31,
2,TAGCN,1:1,none,44,PGExplainer,0.976,30,nan,0.921,nan,nan,0.163,0.149,31,no
2,TAGCN,1:1,none,44,GNNShap,0.976,30,0.953,nan,0.1,0.946,0.452,0.408,31,
2,TAGCN,natural,none,42,GNNExplainer,0.989,30,0.905,0.5,0.7,nan,0.659,-0.023,30,
2,TAGCN,natural,none,42,PGExplainer,0.989,30,nan,0.852,nan,nan,0.123,0.162,30,no
2,TAGCN,natural,none,42,GNNShap,0.989,30,0.967,nan,0.267,0.967,0.265,0.343,30,
2,TAGCN,natural,none,43,GNNExplainer,0.986,30,0.92,0.538,0.667,nan,0.693,-0.073,31,
2,TAGCN,natural,none,43,PGExplainer,0.986,30,nan,0.871,nan,nan,0.17,0.158,31,no
2,TAGCN,natural,none,43,GNNShap,0.986,30,0.97,nan,0.167,0.968,0.317,0.329,31,
2,TAGCN,natural,none,44,GNNExplainer,0.987,30,0.898,0.544,0.7,nan,0.676,-0.045,30,
2,TAGCN,natural,none,44,PGExplainer,0.987,30,nan,0.859,nan,nan,0.191,0.139,30,no
2,TAGCN,natural,none,44,GNNShap,0.987,30,0.97,nan,0.267,0.963,0.371,0.292,30,
