graph_seed,architecture,scenario,balancing,model_seed,explainer,node,node_typ,spearman,plaus_edge,plaus_feat,shap_conc,fid_plus,fid_minus,sub_n_nodes
1,GraphSAGE,1:1,none,42,PGExplainer,8866,3,,0.9761904761904762,,,0.00016385316848754883,0.0060520172119140625,40
1,GraphSAGE,1:1,none,42,PGExplainer,8310,1,,0.9444444444444444,,,3.075599670410156e-05,0.41872185468673706,33
1,GraphSAGE,1:1,none,42,PGExplainer,8628,2,,1.0,,,0.7938586473464966,-0.001556694507598877,25
1,GraphSAGE,1:1,none,42,PGExplainer,9171,3,,1.0,,,0.0009462237358093262,0.0019769668579101562,30
1,GraphSAGE,1:1,none,42,PGExplainer,8321,1,,0.9500000000000001,,,-2.7418136596679688e-06,0.06622856855392456,31
1,GraphSAGE,1:1,none,42,PGExplainer,8961,3,,0.9565217391304348,,,0.8968071937561035,0.00024372339248657227,101
1,GraphSAGE,1:1,none,42,PGExplainer,9096,3,,1.0,,,0.0005739927291870117,0.018391311168670654,25
1,GraphSAGE,1:1,none,42,PGExplainer,8026,1,,0.96,,,0.0023557543754577637,0.9426251649856567,31
1,GraphSAGE,1:1,none,42,PGExplainer,9418,4,,0.9375,,,0.0315784215927124,0.9272781610488892,34
1,GraphSAGE,1:1,none,42,PGExplainer,9291,4,,0.9,,,0.02329719066619873,0.01812601089477539,26
1,GraphSAGE,1:1,none,42,PGExplainer,9132,3,,0.9333333333333333,,,3.0159950256347656e-05,0.0006859302520751953,37
1,GraphSAGE,1:1,none,42,PGExplainer,8611,2,,1.0,,,0.005400538444519043,-2.3484230041503906e-05,25
1,GraphSAGE,1:1,none,42,PGExplainer,9416,4,,0.9375,,,2.5987625122070312e-05,0.4385293126106262,33
1,GraphSAGE,1:1,none,42,PGExplainer,8488,2,,0.75,,,0.03696340322494507,-0.0003129243850708008,22
1,GraphSAGE,1:1,none,42,PGExplainer,8324,1,,0.975,,,0.0,0.5048166513442993,29
1,GraphSAGE,1:1,none,42,PGExplainer,8939,3,,1.0,,,6.240606307983398e-05,0.012615084648132324,37
1,GraphSAGE,1:1,none,42,PGExplainer,9425,4,,0.9583333333333334,,,0.00023502111434936523,0.9241455793380737,39
1,GraphSAGE,1:1,none,42,PGExplainer,8436,2,,0.5,,,0.06108754873275757,-0.004748940467834473,21
1,GraphSAGE,1:1,none,42,GNNShap,8180,1,0.9581954887218045,,0.0,0.9387605592172085,0.8740891218185425,1.0728836059570312e-06,24
1,GraphSAGE,1:1,none,42,GNNShap,8049,1,0.9669172932330827,,0.0,0.9550384607016282,-0.0010718703269958496,0.9920668601989746,32
1,GraphSAGE,1:1,none,42,GNNShap,8763,2,0.9696240601503758,,1.0,0.9222942470450521,0.013507366180419922,0.13232332468032837,29
1,GraphSAGE,1:1,none,42,GNNShap,9446,4,0.904360902255639,,0.0,0.989739955365249,0.9943724274635315,0.0,87
1,GraphSAGE,1:1,none,42,GNNShap,9360,4,0.9529323308270674,,0.0,0.9219359738820028,0.016238808631896973,0.62689208984375,29
1,GraphSAGE,1:1,none,42,GNNShap,8660,2,0.9446616541353382,,1.0,0.9441082975127367,0.9965600371360779,4.00543212890625e-05,26
1,GraphSAGE,1:1,none,42,GNNShap,8593,2,0.9705263157894736,,1.0,0.9647419193419484,0.10505521297454834,0.007012605667114258,24
1,GraphSAGE,1:1,none,42,GNNShap,9074,3,0.8999999999999998,,0.0,0.9709763147454232,0.04502362012863159,0.9916343688964844,29
1,GraphSAGE,1:1,none,42,GNNShap,8596,2,0.9627067669172931,,0.0,0.8972384351820073,0.9940133094787598,0.03612017631530762,22
1,GraphSAGE,1:1,none,42,GNNShap,8225,1,0.9724812030075188,,0.0,0.936859893526505,-0.0005015730857849121,0.9965637922286987,29
1,GraphSAGE,1:1,none,42,GNNShap,8447,2,0.9714285714285715,,0.0,0.9561486005678713,0.9946932196617126,0.0013628602027893066,21
1,GraphSAGE,1:1,none,42,GNNShap,8252,1,0.9753383458646615,,0.0,0.9451446519799795,-0.0001259446144104004,0.9986556768417358,35
1,GraphSAGE,1:1,none,42,GNNShap,8866,3,0.9566917293233083,,0.0,0.9806169114035251,-0.0004960894584655762,0.9994696974754333,40
1,GraphSAGE,1:1,none,42,GNNShap,8310,1,0.984812030075188,,0.0,0.9644215946816865,0.0032595396041870117,0.9983519315719604,33
1,GraphSAGE,1:1,none,42,GNNShap,8628,2,0.9678195488721804,,1.0,0.9539599104934234,0.9982227087020874,-0.001138448715209961,25
1,GraphSAGE,1:1,none,42,GNNShap,9171,3,0.9299248120300752,,0.0,0.9783434017673475,0.006184756755828857,0.9973731637001038,30
1,GraphSAGE,1:1,none,42,GNNShap,8321,1,0.9754887218045113,,1.0,0.9587563952004757,7.43865966796875e-05,0.998052716255188,31
1,GraphSAGE,1:1,none,42,GNNShap,8961,3,0.9368421052631579,,0.0,0.9811655770298711,0.9978614449501038,9.179115295410156e-06,101
1,GraphSAGE,1:1,none,42,GNNShap,9096,3,0.9258646616541352,,0.0,0.9788693301992692,0.3877425789833069,0.856195867061615,25
1,GraphSAGE,1:1,none,42,GNNShap,8026,1,0.9639097744360902,,0.0,0.9228292974146489,0.03089374303817749,0.9781805872917175,31
1,GraphSAGE,1:1,none,42,GNNShap,9418,4,0.9708270676691729,,0.0,0.893042865824928,0.23417329788208008,0.9033133387565613,34
1,GraphSAGE,1:1,none,42,GNNShap,9291,4,0.985563909774436,,0.0,0.9437622064313494,0.9397802352905273,0.21625041961669922,26
1,GraphSAGE,1:1,none,42,GNNShap,9132,3,0.9652631578947368,,0.0,0.9722494678387663,0.0010246038436889648,0.9998630285263062,37
1,GraphSAGE,1:1,none,42,GNNShap,8611,2,0.978796992481203,,0.0,0.9492820728492264,0.03252285718917847,0.2677987217903137,25
1,GraphSAGE,1:1,none,42,GNNShap,9416,4,0.9787969924812028,,0.0,0.9242340474366747,0.0011382699012756348,0.84935063123703,33
1,GraphSAGE,1:1,none,42,GNNShap,8488,2,0.9625563909774435,,0.0,0.9524107194810311,0.9989327788352966,-0.00014781951904296875,22
