architecture,scenario,balancing,explainer,val_pr_auc,n_tp,spearman_mean,plaus_edge_mean,plaus_feat_mean,shap_conc_mean,fid_plus_mean,fid_minus_mean,subgraph_n_nodes,pg_degenerate
GAT,1:100,class_weighting,PGExplainer,0.665,30,nan,0.754,nan,nan,nan,nan,33,no
GAT,1:100,class_weighting,GNNShap,0.665,30,0.975,nan,0.333,0.903,nan,nan,33,
GAT,1:100,focal_loss,GNNExplainer,0.642,10,0.96,0.531,0.3,nan,1.0,1.0,38,
GAT,1:100,focal_loss,PGExplainer,0.642,10,nan,0.885,nan,nan,nan,nan,38,no
GAT,1:100,focal_loss,GNNShap,0.642,10,0.991,nan,0.4,0.905,nan,nan,38,
GAT,natural,none,GNNExplainer,0.828,30,0.973,0.565,0.667,nan,1.0,0.287,32,
GAT,natural,none,PGExplainer,0.828,30,nan,0.434,nan,nan,nan,nan,32,no
GAT,natural,none,GNNShap,0.828,30,0.967,nan,0.167,0.933,nan,nan,32,
GAT,natural,class_weighting,GNNExplainer,0.834,30,0.97,0.525,0.567,nan,1.0,0.0,29,
GAT,natural,class_weighting,PGExplainer,0.834,30,nan,0.509,nan,nan,nan,nan,29,no
GAT,natural,class_weighting,GNNShap,0.834,30,0.954,nan,0.2,0.952,nan,nan,29,
GAT,natural,focal_loss,GNNExplainer,0.732,30,0.929,0.555,0.267,nan,1.0,0.0,32,
GAT,natural,focal_loss,PGExplainer,0.732,30,nan,0.343,nan,nan,nan,nan,32,no
GAT,natural,focal_loss,GNNShap,0.732,30,0.992,nan,0.267,0.956,nan,nan,32,
GCN,1:1,none,GNNExplainer,0.796,30,0.977,0.504,0.767,nan,1.0,0.0,30,
GCN,1:1,none,PGExplainer,0.796,30,nan,0.803,nan,nan,nan,nan,30,no
GCN,1:1,none,GNNShap,0.796,30,0.984,nan,0.167,0.953,nan,nan,30,
GCN,1:1,class_weighting,GNNExplainer,0.796,30,0.977,0.504,0.767,nan,1.0,0.0,30,
GCN,1:1,class_weighting,PGExplainer,0.796,30,nan,0.803,nan,nan,nan,nan,30,no
GCN,1:1,class_weighting,GNNShap,0.796,30,0.984,nan,0.167,0.953,nan,nan,30,
GCN,1:1,focal_loss,GNNExplainer,0.792,30,0.958,0.492,0.8,nan,1.0,0.0,31,
GCN,1:1,focal_loss,PGExplainer,0.792,30,nan,0.215,nan,nan,nan,nan,31,no
GCN,1:1,focal_loss,GNNShap,0.792,30,0.994,nan,0.133,0.949,nan,nan,31,
GCN,1:10,none,GNNExplainer,0.8,30,0.983,0.51,0.433,nan,1.0,0.0,32,
GCN,1:10,none,PGExplainer,0.8,30,nan,0.805,nan,nan,nan,nan,32,no
GCN,1:10,none,GNNShap,0.8,30,0.992,nan,0.133,0.966,nan,nan,32,
GCN,1:10,class_weighting,GNNExplainer,0.797,30,0.972,0.499,0.833,nan,1.0,0.0,31,
GCN,1:10,class_weighting,PGExplainer,0.797,30,nan,0.761,nan,nan,nan,nan,31,no
GCN,1:10,class_weighting,GNNShap,0.797,30,0.985,nan,0.133,0.968,nan,nan,31,
GCN,1:10,focal_loss,GNNExplainer,0.806,30,0.942,0.488,0.833,nan,0.993,0.0,30,
GCN,1:10,focal_loss,PGExplainer,0.806,30,nan,0.776,nan,nan,nan,nan,30,no
GCN,1:10,focal_loss,GNNShap,0.806,30,0.995,nan,0.133,0.968,nan,nan,30,
GCN,1:50,none,GNNExplainer,0.617,5,0.86,0.578,0.2,nan,0.44,0.0,69,
GCN,1:50,none,PGExplainer,0.617,5,nan,0.604,nan,nan,nan,nan,69,no
GCN,1:50,none,GNNShap,0.617,5,0.988,nan,0.2,0.962,nan,nan,69,
