graph_seed,architecture,scenario,balancing,explainer,n_seeds,spearman_mean,spearman_sd,plaus_edge_mean,plaus_edge_sd,plaus_feat_mean,plaus_feat_sd,shap_conc_mean,shap_conc_sd,fid_plus_mean,fid_plus_sd,fid_minus_mean,fid_minus_sd
0,GraphSAGE,1:50,none,GNNShap,3,0.981,0.003,nan,nan,0.222,0.0191,0.9297,0.0057,0.5003,0.0006,0.4403,0.0576
0,GraphSAGE,1:50,none,PGExplainer,3,nan,nan,0.9483,0.0032,nan,nan,nan,nan,0.0983,0.0302,0.2993,0.0454
0,GraphSAGE,natural,class_weighting,GNNExplainer,3,0.8557,0.004,0.4983,0.0238,0.5553,0.0387,nan,nan,0.7827,0.0586,-0.0327,0.0186
0,GraphSAGE,natural,class_weighting,GNNShap,3,0.968,0.002,nan,nan,0.1447,0.0387,0.9647,0.0047,0.6463,0.0315,0.353,0.0075
0,GraphSAGE,natural,class_weighting,PGExplainer,3,nan,nan,0.935,0.0236,nan,nan,nan,nan,0.1863,0.0471,0.2597,0.0421
0,GraphSAGE,natural,focal_loss,GNNExplainer,3,0.894,0.002,0.4867,0.0015,0.4447,0.1072,nan,nan,0.5127,0.0227,-0.1107,0.0153
0,GraphSAGE,natural,focal_loss,GNNShap,3,0.981,0.0026,nan,nan,0.1777,0.0387,0.969,0.001,0.545,0.0255,0.216,0.0537
0,GraphSAGE,natural,focal_loss,PGExplainer,3,nan,nan,0.9,0.0265,nan,nan,nan,nan,0.0837,0.0032,0.1703,0.0163
0,GraphSAGE,natural,none,GNNExplainer,3,0.884,0.005,0.4957,0.0306,0.5443,0.0196,nan,nan,0.7863,0.024,-0.0523,0.0083
0,GraphSAGE,natural,none,GNNShap,3,0.9613,0.0035,nan,nan,0.1887,0.051,0.968,0.0035,0.7197,0.0159,0.2983,0.0547
0,GraphSAGE,natural,none,PGExplainer,3,nan,nan,0.945,0.013,nan,nan,nan,nan,0.2847,0.021,0.2653,0.033
0,TAGCN,1:1,class_weighting,GNNExplainer,3,0.848,0.0225,0.515,0.0601,0.4447,0.0387,nan,nan,0.6147,0.086,-0.012,0.0585
0,TAGCN,1:1,class_weighting,GNNShap,3,0.956,0.006,nan,nan,0.0443,0.051,0.9507,0.0072,0.5703,0.0384,0.247,0.0356
0,TAGCN,1:1,class_weighting,PGExplainer,3,nan,nan,0.89,0.0332,nan,nan,nan,nan,0.1347,0.0599,0.095,0.0751
0,TAGCN,1:1,focal_loss,GNNExplainer,3,0.881,0.0098,0.4843,0.0106,0.3777,0.0508,nan,nan,0.3773,0.0405,-0.1217,0.0148
0,TAGCN,1:1,focal_loss,GNNShap,3,0.985,0.0017,nan,nan,0.0557,0.0196,0.964,0.001,0.4367,0.035,0.151,0.0167
0,TAGCN,1:1,focal_loss,PGExplainer,3,nan,nan,0.7953,0.0381,nan,nan,nan,nan,0.069,0.0594,0.0343,0.031
0,TAGCN,1:1,none,GNNExplainer,3,0.8473,0.0228,0.5153,0.0607,0.4447,0.0387,nan,nan,0.615,0.0861,-0.012,0.0585
0,TAGCN,1:1,none,GNNShap,3,0.956,0.006,nan,nan,0.0443,0.051,0.9503,0.0076,0.5707,0.0389,0.248,0.0339
0,TAGCN,1:1,none,PGExplainer,3,nan,nan,0.89,0.0332,nan,nan,nan,nan,0.1347,0.0599,0.095,0.0751
0,TAGCN,1:10,class_weighting,GNNExplainer,3,0.846,0.0151,0.4427,0.0326,0.4553,0.1072,nan,nan,0.6257,0.0604,0.0183,0.0304
0,TAGCN,1:10,class_weighting,GNNShap,3,0.9607,0.0015,nan,nan,0.0557,0.0196,0.9653,0.0055,0.5463,0.0086,0.1847,0.045
0,TAGCN,1:10,class_weighting,PGExplainer,3,nan,nan,0.8753,0.017,nan,nan,nan,nan,0.101,0.0256,0.2133,0.0647
0,TAGCN,1:10,focal_loss,GNNExplainer,3,0.8647,0.0186,0.3853,0.0085,0.3777,0.0508,nan,nan,0.341,0.0139,-0.1113,0.021
0,TAGCN,1:10,focal_loss,GNNShap,3,0.9843,0.0012,nan,nan,0.078,0.0191,0.9637,0.0057,0.341,0.0302,0.0863,0.0335
0,TAGCN,1:10,focal_loss,PGExplainer,3,nan,nan,0.846,0.0147,nan,nan,nan,nan,-0.004,0.0256,0.1073,0.0348
0,TAGCN,1:10,none,GNNExplainer,3,0.883,0.0147,0.3843,0.0241,0.5443,0.1174,nan,nan,0.632,0.0442,0.0337,0.0071
0,TAGCN,1:10,none,GNNShap,3,0.967,0.0046,nan,nan,0.1223,0.0387,0.962,0.0044,0.3743,0.0258,0.2117,0.0339
0,TAGCN,1:10,none,PGExplainer,3,nan,nan,0.8697,0.0127,nan,nan,nan,nan,0.0827,0.0534,0.2547,0.02
0,TAGCN,1:100,class_weighting,GNNExplainer,3,0.9257,0.0086,0.4877,0.0194,0.2777,0.0387,nan,nan,0.7023,0.086,0.0517,0.0604
0,TAGCN,1:100,class_weighting,GNNShap,3,0.9663,0.0015,nan,nan,0.133,0.0,0.9183,0.0038,0.321,0.0243,0.372,0.0721
0,TAGCN,1:100,class_weighting,PGExplainer,3,nan,nan,0.851,0.0044,nan,nan,nan,nan,0.121,0.0405,0.2873,0.0425
0,TAGCN,1:100,focal_loss,GNNExplainer,3,0.919,0.0046,0.3757,0.032,0.1777,0.0508,nan,nan,0.41,0.0685,-0.0947,0.0124
0,TAGCN,1:100,focal_loss,GNNShap,3,0.9903,0.0015,nan,nan,0.1443,0.0768,0.9383,0.007,0.1637,0.0224,0.0413,0.0065
0,TAGCN,1:100,focal_loss,PGExplainer,3,nan,nan,0.834,0.0436,nan,nan,nan,nan,0.0,0.0053,0.1863,0.0295
0,TAGCN,1:100,none,GNNExplainer,3,0.95,0.0075,0.3643,0.0317,0.2667,0.0335,nan,nan,0.6167,0.0826,0.056,0.0936
