run_id,scenario,architecture,balancing,seed,quality_passed,split,grid_x,pr_precision,roc_tpr
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7700,0.183466,0.983125
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7800,0.174150,0.983867
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.7900,0.172251,0.986018
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8000,0.165648,0.986826
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8100,0.156926,0.987933
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8200,0.145337,0.987965
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8300,0.139325,0.990183
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8400,0.131345,0.990530
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8500,0.122430,0.990876
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8600,0.117962,0.991223
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8700,0.106327,0.994436
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8800,0.096806,0.994530
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.8900,0.091922,0.994566
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9000,0.086304,0.994916
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9100,0.076027,0.995266
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9200,0.068362,0.995616
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9300,0.064103,0.996137
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9400,0.058618,0.996661
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9500,0.055076,0.997150
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9600,0.048108,0.997635
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9700,0.043063,0.998906
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9800,0.041051,0.998906
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,0.9900,0.037769,0.999998
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,val,1.0000,0.032101,1.000000
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0000,1.000000,0.005917
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0100,0.333793,0.037740
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0200,0.026033,0.065839
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0300,0.032765,0.087702
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0400,0.024064,0.111824
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0500,0.020265,0.143103
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0600,0.023133,0.160536
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0700,0.021837,0.166407
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0800,0.022096,0.179469
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.0900,0.020926,0.192947
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1000,0.021682,0.199241
1:100_GAT_class_weighting,1:100,GAT,class_weighting,42,False,test,0.1100,0.019878,0.210428
