run_id,scenario,architecture,balancing,seed,quality_passed,split,n_pos,roc_auc,pr_auc_ap,pr_auc_trap,prec_at_50,prec_at_100,prec_at_npos
1:100_GraphSAGE_focal_loss,1:100,GraphSAGE,focal_loss,42,False,test,169,0.6102694640129289,0.00867761430875481,0.008524367418810692,0.0,0.01,0.011834319526627219
1:100_GraphSAGE_focal_loss_s43,1:100,GraphSAGE,focal_loss,43,False,val,914,0.909353324357983,0.4224601827342681,0.4217589146569107,0.76,0.73,0.4387308533916849
1:100_GraphSAGE_focal_loss_s43,1:100,GraphSAGE,focal_loss,43,False,test,169,0.6369601077372326,0.01055737024180318,0.010426248066003894,0.0,0.0,0.0
1:100_GraphSAGE_focal_loss_s44,1:100,GraphSAGE,focal_loss,44,False,val,914,0.44053635854048445,0.02558688630333108,0.025533177659169175,0.0,0.0,0.007658643326039387
1:100_GraphSAGE_focal_loss_s44,1:100,GraphSAGE,focal_loss,44,False,test,169,0.6201149725472296,0.009576486402701182,0.009253400177760085,0.02,0.03,0.01775147928994083
1:100_GraphSAGE_none,1:100,GraphSAGE,none,42,False,val,914,0.7869720486775587,0.1894840196357942,0.18898205118221018,0.48,0.56,0.2603938730853392
1:100_GraphSAGE_none,1:100,GraphSAGE,none,42,False,test,169,0.5370813738761397,0.007077803517704755,0.0070192535332484094,0.0,0.0,0.0
1:100_GraphSAGE_none_s43,1:100,GraphSAGE,none,43,False,val,914,0.5263789067790622,0.03220098409408817,0.032098026867057164,0.02,0.03,0.01312910284463895
1:100_GraphSAGE_none_s43,1:100,GraphSAGE,none,43,False,test,169,0.6019282679783547,0.008259332208047327,0.008190489755385211,0.0,0.0,0.0
1:100_GraphSAGE_none_s44,1:100,GraphSAGE,none,44,False,val,914,0.8375001542662902,0.28977970667926556,0.2890026868213827,0.72,0.63,0.36214442013129106
1:100_GraphSAGE_none_s44,1:100,GraphSAGE,none,44,False,test,169,0.5335833616579265,0.007081983099814862,0.007006514952453257,0.0,0.0,0.0
1:100_TAGCN_class_weighting,1:100,TAGCN,class_weighting,42,False,val,914,0.7198557183742904,0.16077333630028606,0.16010062068940567,0.34,0.38,0.30196936542669583
1:100_TAGCN_class_weighting,1:100,TAGCN,class_weighting,42,False,test,169,0.693489992134297,0.010996156206106694,0.010880571988431809,0.0,0.0,0.0
1:100_TAGCN_focal_loss,1:100,TAGCN,focal_loss,42,False,val,914,0.6949674366460772,0.081104922194508,0.08077055390780254,0.02,0.01,0.1586433260393873
1:100_TAGCN_focal_loss,1:100,TAGCN,focal_loss,42,False,test,169,0.4553494628705108,0.0060786179279902035,0.006014353134240623,0.0,0.0,0.0
1:100_TAGCN_none,1:100,TAGCN,none,42,False,val,914,0.6459762556470305,0.05882019736796856,0.0582429023445808,0.18,0.2,0.0787746170678337
1:100_TAGCN_none,1:100,TAGCN,none,42,False,test,169,0.6817498449115952,0.010433809011846883,0.010349205537797307,0.0,0.0,0.0
1:10_GAT_class_weighting,1:10,GAT,class_weighting,42,False,val,914,0.9108380735335722,0.3625232488052444,0.36137302140196714,0.54,0.6,0.40700218818380746
1:10_GAT_class_weighting,1:10,GAT,class_weighting,42,False,test,169,0.6234335170550931,0.01499979510332916,0.014387972845903615,0.02,0.03,0.03550295857988166
1:10_GAT_focal_loss,1:10,GAT,focal_loss,42,True,val,914,0.8366777085957334,0.24341006070679963,0.242515478737717,0.58,0.52,0.3238512035010941
1:10_GAT_focal_loss,1:10,GAT,focal_loss,42,True,test,169,0.6064737541017056,0.05806866601294706,0.054458338496880636,0.26,0.18,0.13609467455621302
1:10_GAT_none,1:10,GAT,none,42,True,val,914,0.9029366917085071,0.41226849599332327,0.4114172525172062,0.62,0.68,0.462800875273523
1:10_GAT_none,1:10,GAT,none,42,True,test,169,0.5996297947789948,0.016473019845488553,0.015685859827766598,0.02,0.03,0.029585798816568046
1:10_GCN_class_weighting,1:10,GCN,class_weighting,42,True,val,914,0.8351697899989695,0.23590097616291983,0.23485372163125953,0.42,0.45,0.3293216630196937
1:10_GCN_class_weighting,1:10,GCN,class_weighting,42,True,test,169,0.5106835391186861,0.008302376929104282,0.008107168012711684,0.0,0.02,0.011834319526627219
1:10_GCN_class_weighting_s43,1:10,GCN,class_weighting,43,False,val,914,0.8350067197216934,0.22256721994705028,0.22156175090654737,0.58,0.44,0.3074398249452954
1:10_GCN_class_weighting_s43,1:10,GCN,class_weighting,43,False,test,169,0.5925217155929523,0.011794386892027331,0.011548853134644443,0.0,0.01,0.005917159763313609
1:10_GCN_class_weighting_s44,1:10,GCN,class_weighting,44,False,val,914,0.8360752643416752,0.21221674088547632,0.21123692930144108,0.26,0.42,0.3085339168490153
1:10_GCN_class_weighting_s44,1:10,GCN,class_weighting,44,False,test,169,0.5462405309877054,0.008789313662047332,0.008536062711172292,0.02,0.02,0.01775147928994083
1:10_GCN_focal_loss,1:10,GCN,focal_loss,42,False,val,914,0.824599660307594,0.21019596205149832,0.20926935203805747,0.7,0.51,0.2800875273522976
1:10_GCN_focal_loss,1:10,GCN,focal_loss,42,False,test,169,0.657519774254064,0.01717458929741951,0.01679237126049383,0.0,0.01,0.04142011834319527
